source_id,docid,ky_hieu,loai,co_quan,ngay_ban_hanh,ngay_hieu_luc,trich_yeu,url_vb,pdf_local,chars,status,notes
luat46_2010,,46/2010/QH12,Luật,Quốc hội,,2011-01-01,Luật Ngân hàng Nhà nước Việt Nam 25_VBHN-VPQH,,,37940,active_verified,Bach-Xuan/Luật Ngân hàng Nhà nước Việt Nam 25_VBHN-VPQH.txt
luat46_2024,212474,46/2024/QH15,Luật,Quốc hội,26-11-2024,01-07-2025,LUẬT CÔNG CHỨNG,https://vanban.chinhphu.vn/?pageid=27160&docid=212474,data/private_cache/vbpq/luat46_2024.pdf,109309,active_verified,
luat47_2014,,47/2014/QH13,Luật,Quốc hội,,2015-01-01,"Luật Nhập cảnh, xuất cảnh, quá cảnh, cư trú của người nước ngoài tại Việt Nam 62_VBHN-VPQH",,,87198,active_verified,"Bach-Xuan/Luật Nhập cảnh, xuất cảnh, quá cảnh, cư trú của người nước ngoài tại Việt Nam 62_VBHN-VPQH.txt"
luat47_2026,,47/2026/QH15,Luật,Quốc hội,,2024-07-01,47-VBHN-VPQH 2026 Luật Bảo vệ quyền lợi người tiêu dùng,,,106439,active_verified,Bach-Xuan/47-VBHN-VPQH 2026 Luật Bảo vệ quyền lợi người tiêu dùng.txt
luat48_2024,,48/2024/QH15,Luật,Quốc hội,,2025-07-01,Luật Thuế giá trị gia tăng 114_VBHN-VPQH,,,50266,active_verified,Bach-Xuan/Luật Thuế giá trị gia tăng 114_VBHN-VPQH.txt
luat49_2019,,49/2019/QH14,Luật,Quốc hội,,2020-07-01,"Luật Xuất cảnh, nhập cảnh của công dân Việt Nam 107_VBHN-VPQH",,,88696,active_verified,"Bach-Xuan/Luật Xuất cảnh, nhập cảnh của công dân Việt Nam 107_VBHN-VPQH.txt"
luat49_2026,,49/2026/QH15,Luật,Quốc hội,,2025-01-01,49-VBHN-VPQH 2026 Luật Đường bộ,,,156892,active_verified,Bach-Xuan/49-VBHN-VPQH 2026 Luật Đường bộ.txt
luat50_2014,,50/2014/QH13,Luật,Quốc hội,,2015-01-01,Luật Xây dựng 154_VBHN-VPQH,,,232082,active_verified,Bach-Xuan/Luật Xây dựng 154_VBHN-VPQH.txt
luat51_2001,,51/2001/QH10,Luật,Quốc hội,,,"14-2012-QH13 Luật Phổ biến, giáo dục pháp luật",,,33067,active_verified,"Bach-Xuan/14-2012-QH13 Luật Phổ biến, giáo dục pháp luật.txt"
luat51_2010,,51/2010/QH12,Luật,Quốc hội,,2011-01-01,Luật Người khuyết tật 24_VBHN-VPQH,,,48305,active_verified,Bach-Xuan/Luật Người khuyết tật 24_VBHN-VPQH.txt
luat51_2024,212479,51/2024/QH15,Luật,Quốc hội,2024-11-27,2025-07-01,"Luật sửa đổi, bổ sung một số điều của Luật Bảo hiểm y tế",https://congbao.chinhphu.vn/van-ban/luat-so-51-2024-qh15-43559.htm,,50161,active_verified,congbao.chinhphu.vn
luat52_2014,175351,52/2014/QH13,Luật,Quốc hội,19-06-2014,01-01-2015,LUẬT HÔN NHÂN VÀ GIA ĐÌNH,https://vanban.chinhphu.vn/?pageid=27160&docid=175351,data/private_cache/vbpq/luat52_2014.pdf,86826,active_verified,
luat53_2024,,53/2024/QH15,Luật,Quốc hội,,2025-07-01,"Luật Phòng, chống mua bán người 138_VBHN-VPQH",,,67510,active_verified,"Bach-Xuan/Luật Phòng, chống mua bán người 138_VBHN-VPQH.txt"
luat53_2025,,53/2025/QH15,Luật,Quốc hội,,2014-06-26,53-VBHN-VPQH 2025 Luật Quốc tịch Việt Nam,,,50742,active_verified,Bach-Xuan/53-VBHN-VPQH 2025 Luật Quốc tịch Việt Nam.txt
luat54_2019,,54/2019/QH14,Luật,Quốc hội,,2021-01-01,Luật Chứng khoán 102_VBHN-VPQH,,,244817,active_verified,Bach-Xuan/Luật Chứng khoán 102_VBHN-VPQH.txt
luat54_2025,,54/2025/QH15,Luật,Quốc hội,,2025-04-01,54-VBHN-VPQH 2025 Luật Ban hành văn bản quy phạm pháp luật,,,118313,active_verified,Bach-Xuan/54-VBHN-VPQH 2025 Luật Ban hành văn bản quy phạm pháp luật.txt
luat55_2010,,55/2010/QH12,Luật,Quốc hội,,2011-07-01,Luật An toàn thực phẩm 61_VBHN-VPQH,,,76659,active_verified,Bach-Xuan/Luật An toàn thực phẩm 61_VBHN-VPQH.txt
luat55_2024,,55/2024/QH15,Luật,Quốc hội,,2025-07-01,"Luật Phòng cháy, chữa cháy và cứu nạn, cứu hộ 58_VBHN-VPQH",,,94391,active_verified,"Bach-Xuan/Luật Phòng cháy, chữa cháy và cứu nạn, cứu hộ 58_VBHN-VPQH.txt"
luat55_2026,,55/2026/QH15,Luật,Quốc hội,,2025-01-01,"55-VBHN-VPQH 2026 Luật Trật tự, an toàn giao thông đường bộ",,,177458,active_verified,"Bach-Xuan/55-VBHN-VPQH 2026 Luật Trật tự, an toàn giao thông đường bộ.txt"
luat57_2026,,57/2026/QH15,Luật,Quốc hội,,2024-07-01,"57-VBHN-VPQH 2026 Luật Lực lượng tham gia bảo vệ an ninh, trật tự ở cơ sở",,,36677,active_verified,"Bach-Xuan/57-VBHN-VPQH 2026 Luật Lực lượng tham gia bảo vệ an ninh, trật tự ở cơ sở.txt"
luat58_2026,,58/2026/QH15,Luật,Quốc hội,,2025-07-01,"58-VBHN-VPQH 2026 Luật Phòng cháy, chữa cháy và cứu nạn, cứu hộ",,,94391,active_verified,"Bach-Xuan/58-VBHN-VPQH 2026 Luật Phòng cháy, chữa cháy và cứu nạn, cứu hộ.txt"
luat60_2014,178129,60/2014/QH13,Luật,Quốc hội,20-11-2014,01-01-2016,LUẬT HỘ TỊCH,https://vanban.chinhphu.vn/?pageid=27160&docid=178129,data/private_cache/vbpq/luat60_2014.pdf,55239,active_verified,
luat61_2020,,61/2020/QH14,Luật,Quốc hội,,2021-01-01,Luật Đầu tư 134_VBHN-VPQH,,,200973,active_verified,Bach-Xuan/Luật Đầu tư 134_VBHN-VPQH.txt
luat61_2025,,61/2025/QH15,Luật,Quốc hội,,2011-07-01,61-VBHN-VPQH 2025 Luật An toàn thực phẩm,,,76659,active_verified,Bach-Xuan/61-VBHN-VPQH 2025 Luật An toàn thực phẩm.txt
luat62_2026,,62/2026/QH15,Luật,Quốc hội,,2015-01-01,"62-VBHN-VPQH 2026 Luật Nhập cảnh, xuất cảnh, quá cảnh, cư trú của người nước ngoài tại Việt Nam",,,87198,active_verified,"Bach-Xuan/62-VBHN-VPQH 2026 Luật Nhập cảnh, xuất cảnh, quá cảnh, cư trú của người nước ngoài tại Việt Nam.txt"
luat63_2026,,63/2026/QH15,Luật,Quốc hội,,2020-01-01,63-VBHN-VPQH 2026 Luật Chăn nuôi,,,100496,active_verified,Bach-Xuan/63-VBHN-VPQH 2026 Luật Chăn nuôi.txt
luat64_2025,,64/2025/QH15,Luật,Quốc hội,,2025-04-01,Luật Ban hành văn bản quy phạm pháp luật 54_VBHN-VPQH,,,118313,active_verified,Bach-Xuan/Luật Ban hành văn bản quy phạm pháp luật 54_VBHN-VPQH.txt
luat65_2006,,65/2006/QH11,Luật,Quốc hội,,2007-01-01,Luật Luật sư 03_VBHN-VPQH,,,108592,active_verified,Bach-Xuan/Luật Luật sư 03_VBHN-VPQH.txt
luat66_2026,,66/2026/QH15,Luật,Quốc hội,,2024-07-01,66-VBHN-VPQH 2026 Luật Viễn thông,,,113198,active_verified,Bach-Xuan/66-VBHN-VPQH 2026 Luật Viễn thông.txt
luat67_2026,,67/2026/QH15,Luật,Quốc hội,,2006-07-01,67-VBHN-VPQH 2026 Luật Sở hữu trí tuệ,,,371222,active_verified,Bach-Xuan/67-VBHN-VPQH 2026 Luật Sở hữu trí tuệ.txt
luat68_2020,202609,68/2020/QH14,Luật,Quốc hội,13-11-2020,01-07-2021,LUẬT CƯ TRÚ,https://vanban.chinhphu.vn/?pageid=27160&docid=202609,data/private_cache/vbpq/luat68_2020.pdf,49423,active_verified,
luat72_2020,,72/2020/QH14,Luật,Quốc hội,,2022-01-01,Luật Bảo vệ môi trường 98_VBHN-VPQH,,,361914,active_verified,Bach-Xuan/Luật Bảo vệ môi trường 98_VBHN-VPQH.txt
luat72_2026,,72/2026/QH15,Luật,Quốc hội,,2020-07-01,72-VBHN-VPQH 2026 Luật Giáo dục,,,118440,active_verified,Bach-Xuan/72-VBHN-VPQH 2026 Luật Giáo dục.txt
luat73_2021,,73/2021/QH14,Luật,Quốc hội,,2022-01-01,"Luật Phòng, chống ma túy 117_VBHN-VPQH",,,59330,active_verified,"Bach-Xuan/Luật Phòng, chống ma túy 117_VBHN-VPQH.txt"
luat74_2025,,74/2025/QH15,Luật,Quốc hội,,,Luật Việc làm,,,56667,active_verified,Bach-Xuan/Luật Việc làm 74_2025QH15.txt
luat77_2006,,77/2006/QH11,Luật,Quốc hội,,2007-07-01,"Luật Thể dục, thể thao 64_VBHN-VPQH",,,67987,active_verified,"Bach-Xuan/Luật Thể dục, thể thao 64_VBHN-VPQH.txt"
luat78_2015,,78/2015/QH13,Luật,Quốc hội,,2020-07-01,Luật Nghĩa vụ quân sự 80_VBHN-VPQH,,,57354,active_verified,Bach-Xuan/Luật Nghĩa vụ quân sự 80_VBHN-VPQH.txt
luat79_2026,,79/2026/QH15,Luật,Quốc hội,,2024-08-01,79-VBHN-VPQH 2026 Luật Nhà ở,,,344477,active_verified,Bach-Xuan/79-VBHN-VPQH 2026 Luật Nhà ở.txt
luat80_2025,,80/2025/QH15,Luật,Quốc hội,,2020-07-01,80-VBHN-VPQH 2025 Luật Nghĩa vụ quân sự,,,57354,active_verified,Bach-Xuan/80-VBHN-VPQH 2025 Luật Nghĩa vụ quân sự.txt
luat82_2026,,82/2026/QH15,Luật,Quốc hội,,2025-01-01,82-VBHN-VPQH 2026 Luật Tổ chức Tòa án nhân dân,,,134276,active_verified,Bach-Xuan/82-VBHN-VPQH 2026 Luật Tổ chức Tòa án nhân dân.txt
luat84_2015,,84/2015/QH13,Luật,Quốc hội,,2016-07-01,"Luật An toàn, vệ sinh lao động 14_VBHN-VPQH",,,135386,active_verified,"Bach-Xuan/Luật An toàn, vệ sinh lao động 14_VBHN-VPQH.txt"
luat85_2026,,85/2026/QH15,Luật,Quốc hội,,2014-05-01,"85-VBHN-VPQH 2026 Luật Phòng, chống thiên tai",,,124481,active_verified,"Bach-Xuan/85-VBHN-VPQH 2026 Luật Phòng, chống thiên tai.txt"
luat87_2025,,87/2025/QH15,Luật,Quốc hội,,2023-07-01,87-VBHN-VPQH 2025 Luật Thực hiện dân chủ ở cơ sở,,,150872,active_verified,Bach-Xuan/87-VBHN-VPQH 2025 Luật Thực hiện dân chủ ở cơ sở.txt
luat88_2025,,88/2025/QH15,Luật,Quốc hội,,2013-01-01,88-VBHN-VPQH 2025 Luật Quảng cáo,,,69498,active_verified,Bach-Xuan/88-VBHN-VPQH 2025 Luật Quảng cáo.txt
luat90_2026,,90/2026/QH15,Luật,Quốc hội,,2013-07-01,90-VBHN-VPQH 2026 Luật Xử lý vi phạm hành chính,,,248104,active_verified,Bach-Xuan/90-VBHN-VPQH 2026 Luật Xử lý vi phạm hành chính.txt
luat91_2015,,91/2015/QH13,Luật,Quốc hội,,2017-01-01,91-2015-QH13 Bộ luật Dân sự,,,368136,active_verified,Bach-Xuan/91-2015-QH13 Bộ luật Dân sự.txt
